,Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049,0050,0051,0052,0053,0054,0055,0056,0057,0058,0059,0060,0061,0062,0063,0064,0065,0066,0067
Page path and screen class,Segment,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions
/sta/shear_moment_diagrams/,All Users,0,0,0,0,0,0,0,0,3,4,23,12,37,7,3,5,12,29,56,112,198,150,2,1,2,3,3,4,4,0,0,0,1,1,0,0,0,2,0,0,1,0,2,0,0,2,0,2,3,3,1,0,3,1,2,0,0,0,0,0,0,19,0,0,0,0,0,0
/dyn/vectors/,All Users,3,2,1,2,1,5,2,4,0,3,3,6,1,0,6,0,0,6,7,7,6,4,3,2,3,2,3,1,1,0,4,2,2,1,1,0,2,3,5,0,5,15,7,10,7,13,49,52,58,78,78,113,77,1,5,1,0,1,1,0,1,1,1,0,1,0,1,0
/sta/hydrostatic_fluid_pressure/,All Users,2,0,1,0,2,2,2,3,0,0,1,1,4,1,2,1,0,3,4,6,12,8,4,6,29,51,132,101,77,0,0,1,3,2,0,2,2,4,11,10,16,23,31,1,0,3,5,1,3,1,0,1,0,1,3,4,0,0,0,1,1,14,0,0,0,0,0,0
/sta/virtual_work/,All Users,2,0,1,2,1,3,2,4,0,2,1,0,0,1,1,0,2,3,4,5,12,3,1,1,3,5,11,16,4,0,0,0,3,0,0,1,1,4,23,21,24,17,25,16,14,57,81,106,7,4,0,2,3,3,4,0,1,1,0,2,4,17,0,0,0,1,0,0
/dyn/particle_kinetics/,All Users,3,2,6,14,9,17,19,12,0,7,11,1,0,3,4,4,5,10,7,16,24,5,1,3,7,2,1,1,0,0,1,0,4,1,1,0,0,4,6,4,7,19,4,2,6,7,10,25,47,33,42,46,58,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
/,All Users,18,2,2,12,10,12,6,13,2,1,12,8,9,15,15,4,6,15,20,18,23,22,6,8,15,18,9,15,11,1,0,4,9,3,0,2,1,4,8,6,7,12,17,3,2,16,4,15,23,11,8,4,6,3,5,0,0,0,0,2,4,1,3,1,0,0,1,2
/dyn/work_and_energy/,All Users,0,0,0,2,0,0,1,6,0,0,1,1,0,0,2,1,2,4,0,1,4,2,1,4,1,1,5,1,0,2,0,1,2,1,1,1,1,0,18,9,2,23,22,14,30,65,18,17,39,45,42,62,54,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/dyn/vector_calculus/,All Users,1,0,1,1,2,1,1,3,0,4,6,3,0,1,3,1,0,2,3,3,6,2,0,0,6,1,3,2,0,0,2,0,2,1,0,1,1,5,3,0,3,19,5,7,7,15,26,47,33,60,48,79,50,3,6,0,1,0,0,1,1,1,1,0,0,0,0,0
/sol/pressure_vessels/,All Users,3,4,3,6,9,23,2,2,5,4,6,19,21,29,42,45,4,3,2,13,7,13,23,3,5,6,10,26,14,0,0,1,0,0,0,0,0,1,1,1,1,3,6,17,0,1,5,5,13,30,13,16,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/sol/shear_moment_diagrams/,All Users,15,28,1,6,20,11,4,6,9,1,3,4,9,26,26,31,1,3,6,11,8,8,8,7,5,8,11,7,4,0,0,1,1,1,0,0,0,1,3,3,0,1,2,6,2,7,17,13,25,30,32,25,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
